a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,isabot,last_24_hours_tweet,lexical_diversity,location,name,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,percent_negative_tweets,percent_neutral_tweets,percent_positive_tweets,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
143687056,70.5,5.52,2137660,1,2010-05-14 04:08:41,False,False,5244.01750449977,0,36,0.506422018349,True,asummer_seavey,14,7,0,3,83,9149,17,10,70,20,1.09214250854,8.9,1090,552,False
2291421004,53.25,4.5,5133090,1,2014-01-19 10:38:59,False,False,8017.935388084641,0,34,0.523864959255,True,hookedteigan,12,12,0,4,77,13283,20,25,40,35,0.199251637044,7.3,859,450,False
225241810,69.3,7.52,102085220,1,2010-12-11 02:33:14,False,False,505288.9402246006,0,0,0.575803981623,True,Tenisestarr,11,11,0,6,63,14377,28,5,45,50,1.22368421053,8.5,1306,752,False
52929021,61.7,6.39,4275460,1,2009-07-02 01:48:26,False,False,27488.646516516594,0,1,0.677624602333,True,RosarioHackshaw,15,15,0,1,78,93153,17,10,65,25,0.438905547226,8.5,943,639,False
325967359,94.78947368421052,8.79,166262220,1,2011-06-29 04:44:21,False,False,3259613.6563961976,0,0,0.642543859649,True,9_t_8,5,1,1,11,74,21590,36,15,57,26,0.0655594405594,9.3,1368,879,False
585912212,80.65,7.54,24780130,1,2012-05-20 19:09:52,False,False,146487.06631324146,0,4,0.62938230384,True,A1_Ade,6,1,1,2,77,28133,40,10,45,45,0.476821192053,8.8,1198,754,False
2419936286,48.4,4.65,16105580,1,2014-03-31 03:47:30,False,False,146235.5332722779,0,3,0.616710875332,True,AA12,4,2,2,0,74,7660,13,0,60,40,0.0106039386058,7.6,754,465,False
262531823,88.6,9.63,180000,1,2011-03-08 06:40:22,False,False,2310.181669804347,0,100,0.640292553191,True,AB_Views,8,2,0,4,69,373627,36,10,65,25,0.0891304347826,9.1,1504,963,False
226315121,77.05,8.23,41713040,2,2010-12-13 21:40:42,False,False,299899.6155449519,0,1,0.64905362776,True,ACastiella,10,10,0,12,89,13264,52,0,90,10,1.6017699115,10.9,1268,823,False
492649414,136.9,6.75,5885900,2,2012-02-14 23:42:32,False,False,48056.59396573482,0,14,0.364274150027,True,Desastres_ADN,13,9,0,25,43,137036,80,10,90,0,0.126908899421,10.5,1853,675,False
56554591,81.21052631578948,7.67,132722070,2,2009-07-14 00:55:42,False,False,2821904.0147082666,0,0,0.552195824334,True,AJCertified1,12,11,1,9,67,17738,49,21,52,26,0.984505363528,10.8,1389,767,False
85193539,89.75,8.86,10342410,3,2009-10-25 23:46:57,False,False,44859.608534850144,0,13,0.606019151847,True,IdahoLark,9,9,0,6,73,42893,50,20,10,70,0.82634587899,9.8,1462,886,False
166211662,62.75,5.75,23227410,1,2010-07-13 16:21:01,False,False,162162.73226897727,0,4,0.580808080808,True,ANDRESOHYES,11,11,0,2,44,116981,35,5,65,30,0.582116788321,8.4,990,575,False
2765166293,72.05,7.69,17776610,2,2014-09-09 00:24:35,True,False,135472.37800466927,0,5,0.601250977326,True,Tzap_5,6,4,1,2,97,3169,69,10,65,25,1.0,9.1,1279,769,False
69991603,56.45,6.56,100273450,1,2009-08-29 23:29:57,False,False,737391.0237017586,0,0,0.621800947867,True,AYODELE7,8,7,1,4,36,772,30,40,45,15,1.02083333333,9.5,1055,656,False
357747403,67.8,7.05,42711080,2,2011-08-18 21:01:43,False,False,178747.59161171934,0,5,0.783333333333,True,A_AlRuwaieh,11,1,0,4,67,2318,45,0,95,5,0.978260869565,8.5,900,705,False
1141299306,25.55,4.04,2461220,2,2013-02-02 02:51:27,False,False,6412.801418062156,0,33,0.744014732965,True,aaaronpogiii,12,12,0,9,44,72869,31,15,70,15,0.293088363955,9.4,543,404,False
37407255,119.25,10.46,2976520,2,2009-05-03 12:17:01,False,False,12607.808594279975,0,37,0.634708737864,True,Aagan86,7,5,2,30,63,327713,58,15,45,40,0.0481001341082,10.4,1648,1046,True
112295272,130.15,11.68,18045340,2,2010-02-07 23:56:34,False,False,30667.86367824632,0,17,0.593797661413,True,AankhiGM,8,8,0,13,77,22261,40,20,35,45,0.0703393999016,10.5,1967,1168,False
208664282,91.9,8.61,159873870,2,2010-10-27 17:57:56,False,False,1310112.8366219224,0,0,0.675294117647,True,Aashu_Salotra,13,5,0,16,59,14933,48,15,50,35,0.38431372549,8.8,1275,861,False
348393966,76.15789473684211,6.86,71463180,3,2011-08-04 10:45:50,True,False,527524.2766751129,0,0,0.493170381021,True,Abbdulla_,9,8,0,2,64,24355,59,0,94,5,0.484400656814,9.5,1391,686,False
1245621752,108.4,8.39,354004600,2,2013-03-06 08:50:36,False,False,3130691.8027018,0,0,0.587535014006,True,AbijahGupta,11,11,0,12,58,3908,81,15,25,60,0.0208631037439,9.6,1428,839,False
329481796,54.75,5.23,116250570,2,2011-07-05 04:34:40,False,False,1130620.63463768,0,0,0.60884749709,True,Abikikime,9,9,0,1,70,6913,9,10,55,35,1.17272727273,8.6,859,523,False
131043638,96.45,7.68,157976230,1,2010-04-09 03:07:55,False,False,1220946.8024607582,0,0,0.490108487556,True,TruthFactsNet,13,13,0,1,33,4150,24,15,30,55,1125,8.5,1567,768,False
150183040,67.44444444444444,6.16,716688490,3,2010-05-31 08:46:49,True,False,28773621.967339747,0,0,0.582230623819,True,AbramxJosiah,12,12,0,4,54,4615,13,11,50,38,1.23348017621,7.9,1058,616,False
91287122,79.35,8.29,4678860,1,2009-11-20 06:48:12,False,False,36407.580987034824,0,14,0.563179347826,True,Abubakerrr1,11,10,1,6,91,52342,41,20,55,25,0.879616963064,9.9,1472,829,False
2244762307,49.55,5.57,286938760,1,2013-12-14 00:59:39,False,False,1723475.8912978296,0,0,0.666267942584,True,Acy_Canono23,12,3,2,10,3,512,13,30,40,30,1.35069444444,8.1,836,557,False
344457551,56.75,6.63,41950960,1,2011-07-29 02:54:50,False,False,173640.64342453785,0,0,0.661676646707,True,Adam_Loko116,12,4,3,1,61,56856,54,25,50,25,0.753213367609,8.7,1002,663,False
2360378178,117.5,9.37,43784900,1,2014-02-25 02:47:04,True,False,232378.0903881431,0,1,0.602572347267,True,Addie_bo_baddie,15,5,0,6,98,4710,54,20,45,35,0.530864197531,11.0,1555,937,False
2400711853,80.65,7.92,670026260,3,2014-03-21 01:12:05,False,False,13136644.5091298,0,0,0.654004954583,True,AdityoHassan,12,12,0,47,42,3762,73,5,65,30,1.22667588113,9.3,1211,792,False
32494880,101.85,8.05,22921860,3,2009-04-17 17:44:34,False,False,124546.34942883713,0,3,0.649193548387,True,Adralicious,11,11,0,55,5,10027,81,15,55,30,0.988978692138,9.7,1240,805,False
2362812823,76.85,6.76,16052130,1,2014-02-26 15:03:49,False,False,214061.65401362174,0,0,0.597173144876,True,AdriUmbreon,11,11,0,1,77,16021,52,0,90,10,0.768348623853,10.5,1132,676,False
86565348,84.45,8.64,3638750,1,2009-10-31 17:11:53,False,False,5017.834744937302,0,73,0.683544303797,True,Advcate007,10,7,3,15,68,83190,25,0,80,20,0.667579908676,8.2,1264,864,False
250207934,60.2,6.82,81187680,1,2011-02-10 16:50:55,False,False,497677.43931336695,0,0,0.732545649839,True,AfnanAK,7,7,0,14,80,26306,18,0,95,5,0.605194805195,7.6,931,682,False
238040058,86.55,8.22,16327060,2,2011-01-14 06:27:01,True,False,71550.57533423473,0,1,0.587142857143,True,davidragee,10,10,0,7,61,18401,49,10,40,50,2.16444444444,9.2,1400,822,False
1376257824,102.5,8.7,53155000,5,2013-04-24 05:45:43,False,False,299048.7643288298,0,0,0.645400593472,True,AgyapasJordan,13,13,0,33,85,5935,75,15,60,25,1.24514563107,9.7,1348,870,False
714550385,81.4,8.53,13674830,3,2013-10-14 14:49:40,False,False,126021.62714332013,0,9,0.549967762734,True,AhmadWaleed4568,15,11,4,30,65,17241,51,15,70,15,0.20652173913,9.2,1551,853,False
474152548,84.7,6.77,425008820,2,2012-01-25 18:10:35,False,False,6210964.290579003,0,0,0.635680751174,True,AirJordan136,12,9,3,30,77,20752,50,15,70,15,1.16989066442,10.0,1065,677,False
1373517728,101.35,7.13,5126280,2,2013-04-23 01:32:11,False,False,20003.981517375487,0,19,0.58109209454,True,AkheemV,7,7,0,3,61,118997,42,5,45,50,0.882445141066,10.2,1227,713,False
177906959,118.85,11.14,482784880,1,2010-08-13 10:53:42,False,False,6026143.800099175,0,0,0.653755868545,True,Akhtarul_Iman,13,8,0,24,76,994,36,25,50,25,2.40462427746,10.1,1704,1114,False
2248762537,96.9,7.88,15211660,1,2013-12-16 13:27:47,True,False,176395.31127778738,0,3,0.659966499162,True,RealisticHuman,14,14,0,0,52,21763,51,10,60,30,0.320699708455,9.5,1194,788,False
462534253,80.65,7.88,9154260,2,2012-01-13 01:58:00,False,False,44743.83160794345,0,17,0.607555898227,True,Al_FSU,6,2,0,6,59,37766,53,5,50,45,0.915304606241,9.6,1297,788,False
93941188,94.8,8.15,81692240,2,2009-12-01 20:54:37,False,False,889269.8855873438,0,0,0.672442244224,True,AlaskaAmy,9,9,0,7,27,4538,78,20,50,30,1.08510638298,11.5,1212,815,False
22437394,44.2,3.86,4175570,2,2009-03-02 02:05:44,False,False,24892.59639827674,0,4,0.668977469671,True,AlbertoDefa,11,11,0,3,72,52511,6,0,100,0,0.0205546492659,9.5,577,386,False
1195136336,34.31578947368421,4.18,4450170,1,2013-02-18 22:36:27,True,False,1616.5436265065325,0,0,0.654147104851,True,Albertopurple,13,13,0,0,33,19479,1,5,57,36,1.1269035533,6.3,639,418,False
578904059,94.5,8.43,342092170,3,2012-05-13 12:11:09,False,False,4571532.4725899,0,0,0.715012722646,True,AleksandrValeev,15,15,0,60,6,17626,86,0,95,5,0.295953757225,8.6,1179,843,False
454183646,33.26315789473684,5.69,426112080,1,2012-01-03 18:25:34,False,False,3194391.546822798,0,0,0.591476091476,True,AlexBevannn,11,11,0,4,55,8706,23,31,68,0,0.507645259939,9.5,962,569,False
318040219,59.78947368421053,8.71,195140130,2,2011-06-15 21:32:42,False,False,791096.6327248443,0,0,0.644230769231,True,Alex_Senior1,12,4,1,4,86,7913,50,10,57,31,0.760814249364,9.6,1352,871,False
558782771,98.9,9.59,11869820,2,2012-04-20 16:54:44,False,False,240947.79356005733,0,3,0.562133645955,True,LexSeasTheDay,13,13,0,3,64,10844,52,20,40,40,1.42148760331,10.2,1706,959,False
50034798,59.95,4.93,12392560,3,2009-06-23 17:11:58,False,False,55386.459754709,0,1,0.705293276109,True,Alicia_CEO,10,6,0,5,6,24173,80,5,70,25,3.38826466916,9.4,699,493,False
2574200442,59.9,6.36,54478150,1,2014-06-18 05:42:51,False,False,377623.2516945262,0,0,0.569382273948,True,Alivnna,7,7,0,2,43,22727,23,20,55,25,0.541353383459,8.6,1117,636,False
53114456,111.1,9.4,204360710,1,2009-07-02 16:42:05,False,False,1132529.1801364445,0,0,0.510037981552,True,Aliyah_Khan1,12,6,1,14,71,9510,35,10,45,45,0.183162684869,9.7,1843,940,False
1495594020,85.35,9.37,86684310,2,2013-06-09 13:33:02,False,False,455987.9114535165,0,0,0.626336898396,True,AllMakEvrything,15,15,0,3,78,2703,61,10,65,25,0.922077922078,9.8,1496,937,False
1387377110,92.35,7.03,164486550,1,2013-04-28 16:44:04,True,False,20708.495937416603,0,0,0.5800330033,True,AllyRamon_,10,9,0,3,70,4956,70,5,65,30,0.89552238806,11.2,1212,703,False
489714722,75.25,5.0,49988110,2,2012-02-11 20:20:44,False,False,303107.4699241632,0,0,0.620347394541,True,Almina_AB,9,6,0,29,45,2195,90,10,80,10,4.65432098765,11.0,806,500,False
64534012,48.75,5.62,8829910,1,2009-08-10 22:22:34,False,False,73805.9272873629,0,6,0.612868047983,True,LonsoUchiha,11,11,0,4,32,22577,41,5,80,15,0.943452380952,8.6,917,562,False
138472981,111.2,8.37,253933140,2,2010-04-29 16:56:32,True,False,4564198.1793628335,0,0,0.569387755102,True,Alps_Sarsis,11,4,0,2,91,2814,23,15,25,60,1.90845070423,8.5,1470,837,False
1727495887,43.76470588235294,4.32,548022060,1,2013-09-04 03:40:00,True,False,6057397.757294391,0,0,0.684627575277,True,Alsagermaha,11,11,0,11,41,2756,48,11,82,5,0.531914893617,9.5,631,432,False
440901699,109.65,9.1,30597820,1,2011-12-19 14:47:57,False,False,226554.8515668998,0,5,0.537825059102,True,AlvarezCasandra,15,15,0,0,96,27824,57,25,55,20,0.616417910448,9.6,1692,910,False
185216671,86.15,8.85,39257880,3,2010-08-31 13:46:05,False,False,269232.74721658585,0,0,0.66742081448,True,AlvaroKrus,10,10,0,12,72,21667,56,5,85,10,1.64302600473,10.2,1326,885,False
32831822,105.4,8.53,62742650,2,2009-04-18 08:19:02,False,False,254473.23104060965,0,0,0.659196290572,True,Alwayscharlie,13,13,0,12,75,25027,50,5,90,5,0.406957928803,10.7,1294,853,False
2938551012,76.35,0.16,789012870,1,2014-12-21 19:45:06,True,False,4712391.446251796,0,0,0.0166666666667,True,Alyssawizard101,15,12,3,0,0,1112,100,0,100,0,1.21296296296,12.2,960,16,False
241347721,127.7,11.09,251247030,2,2011-01-22 01:48:16,False,False,657439.7249655267,0,2,0.586462189318,True,AlzadoKnows,11,11,0,2,93,2994,44,40,30,30,1.28449502134,10.2,1891,1109,False
20301520,80.65,8.74,235693470,2,2009-02-07 09:44:01,True,False,954445.8581423294,0,0,0.610335195531,True,Natobay,7,7,0,39,62,1838,31,20,55,25,5.16058394161,9.3,1432,874,False
49709134,88.35,7.08,384527230,2,2009-06-22 18:04:31,False,False,2234542.1846099393,0,0,0.534339622642,True,MaahiKaPapa,11,11,0,8,75,21841,21,30,35,35,0.29347826087,8.3,1325,708,False
392080330,98.4,7.75,91751860,1,2011-10-16 14:40:14,True,False,820882.0005408268,0,2,0.577066269546,True,AmandaGrace97,13,11,2,5,87,14251,55,20,60,20,0.834763948498,10.1,1343,775,False
2257926470,74.45,8.26,22870510,1,2013-12-22 16:53:47,False,False,159026.78412244743,0,1,0.653481012658,True,Ambre_Snk,9,5,0,7,73,25314,39,15,75,10,0.482632541133,8.8,1264,826,False
96815122,99.15,10.1,86324730,2,2009-12-14 18:39:40,False,False,408174.35937751835,0,1,0.562360801782,True,Amit25may,9,4,2,13,63,5083,19,35,45,20,0.568914956012,9.0,1796,1010,False
120833703,115.75,10.35,38885480,1,2010-03-07 18:10:17,False,False,206936.69853254038,0,2,0.626513317191,True,AmmeGrace,9,9,0,34,57,6970,73,10,30,60,0.888375165125,10.2,1652,1035,False
22798846,73.75,8.43,71868960,2,2009-03-04 16:55:35,False,False,335101.31950320635,0,4,0.619397501837,True,AmyAhnSully,11,11,0,27,68,17597,38,5,50,45,1.66373626374,10.6,1361,843,False
381753637,77.7,5.59,9200480,2,2011-09-28 21:46:53,True,False,32426.259105044788,0,7,0.555114200596,True,Anafan2,7,6,1,27,86,35537,49,10,65,25,0.507507507508,12.5,1007,559,False
2718118608,113.95,9.44,8624920,2,2014-08-08 22:48:50,False,False,58530.862797224334,0,8,0.638700947226,True,AnalSystemist,13,13,0,18,88,12068,38,30,60,10,1.30952380952,9.8,1478,944,False
1194760087,87.4,8.4,9455220,3,2013-02-18 20:11:15,False,False,86866.90012534981,0,0,0.569877883311,True,AndrewGortonWx,14,14,0,8,48,9021,69,10,35,55,0.643567639257,10.1,1474,840,True
3140424071,96.7,4.94,201314200,1,2015-04-06 13:40:28,False,False,2448967.1067617694,0,0,0.310301507538,True,Andrew_Andries,14,6,0,9,99,244,100,10,25,65,2.73684210526,7.2,1592,494,False
434832511,55.35,4.7,1124092200,1,2011-12-12 11:08:18,True,False,3460612.1038334947,0,0,0.55753262159,True,AndyChatlani,12,12,0,30,83,224,25,0,95,5,5.88461538462,10.2,843,470,False
468080275,83.9,7.19,11185920,1,2012-01-19 04:41:15,True,False,69582.87729210038,0,1,0.5410082769,True,AngelOdom,9,9,0,2,55,7720,31,15,50,35,0.722871452421,8.8,1329,719,False
622956477,28.0,5.0,0,1,2012-06-30 14:52:22,False,False,0.0,0,0,1.0,True,sariahbennet,12,12,0,0,1,1057,0,0,0,100,1.41095890411,0,5,5,False
149723283,58.8,7.0,7413750,1,2010-05-30 02:05:18,False,False,65878.2319089356,0,6,0.577557755776,True,GeloCarter,10,10,0,5,35,50127,18,15,55,30,0.577827191868,8.7,1212,700,False
2311184364,47.8,5.84,8242150,2,2014-01-26 04:39:04,False,False,43361.20473891379,0,0,0.680652680653,True,angieroquino,12,12,0,0,31,5628,13,20,60,20,1.28571428571,7.3,858,584,False
2251878995,108.85,9.11,18136660,1,2013-12-30 11:37:30,False,False,293543.0195180257,0,2,0.611409395973,True,KeshaCabeYo,11,11,0,3,99,13466,51,5,85,10,1.21720430108,9.9,1490,911,False
2378140945,78.7,5.89,44040630,3,2014-03-08 04:34:16,False,False,381783.0780886543,0,0,0.72896039604,True,Anis_SGL,8,4,0,21,77,11293,35,0,90,10,1.23780487805,10.3,808,589,False
519445792,41.78947368421053,4.93,555065230,1,2012-03-09 12:31:08,False,False,5581380.081120867,0,0,0.589008363202,True,AnjaSaade,9,9,0,22,63,29531,23,15,47,36,0.748383303939,9.3,837,493,False
252882696,81.15789473684211,7.46,246592410,2,2011-02-16 03:14:35,False,False,3116880.4718721285,0,0,0.524613220816,True,AnnaAheli,9,9,0,3,22,15634,5,21,42,36,2.08574610245,7.9,1422,746,False
41950696,122.15,10.18,810850020,1,2009-05-23 01:57:30,False,False,8646170.495271172,0,0,0.612883804937,True,AnnaLMiller,11,11,0,71,66,651,78,15,60,25,1.99456521739,9.9,1661,1018,False
2941150861,75.82352941176471,6.93,36938520,1,2014-12-23 20:29:30,False,False,77897.54153042591,0,0,0.6015625,True,EyesGary,8,8,0,4,48,3583,33,29,58,11,1.28244274809,8.9,1152,693,False
484522355,114.2,10.4,2963080,1,2012-02-06 06:17:30,False,False,36487.22170719497,0,10,0.614657210402,True,AnupamkPandey,13,13,0,30,89,135733,27,10,70,20,0.0342228769141,12.2,1692,1040,True
1874015534,86.65,8.47,24671920,1,2013-09-17 03:51:30,True,False,269269.3338356412,0,0,0.599858356941,True,AnuraagKalluri,14,14,0,3,80,5664,49,10,45,45,0.96682464455,9.3,1412,847,False
59689509,103.47368421052632,8.83,7482140,1,2009-07-24 04:27:57,True,False,65585.31134880905,0,10,0.597833446175,True,AraCekyan,9,9,0,1,73,11382,48,26,42,31,0.767676767677,10.5,1477,883,False
1897930380,99.95,9.57,411783620,1,2013-09-23 17:46:27,True,False,5049886.326691428,0,0,0.569982132222,True,Araceli94999080,15,7,8,27,99,1112,36,10,40,50,8.31111111111,9.6,1679,957,False
58702972,62.4,7.29,124012110,1,2009-07-21 04:24:36,False,False,814260.1715009705,0,0,0.574921135647,True,AriDQ,5,5,0,5,41,7183,21,15,55,30,0.858156028369,8.1,1268,729,False
3164941860,92.75,8.07,493485550,1,2015-04-20 07:28:31,True,False,19638603.227085814,0,0,0.583936324168,True,ArianaReweti,12,12,0,38,97,1274,62,10,50,40,9.98611111111,10.1,1382,807,False
110122113,84.5,7.58,554358890,2,2010-01-31 12:15:43,False,False,2532279.458526381,0,0,0.628003314002,True,ArianeTan,9,9,0,6,37,10304,16,15,45,40,0.858426966292,8.6,1207,758,False
866157062,124.85,9.82,1230100,1,2012-10-07 11:06:54,False,False,5611.546368649197,0,61,0.619558359621,True,ArmandVervaeck,14,14,0,40,74,136357,38,5,90,5,0.750619322874,10.4,1585,982,False
231257304,123.65,9.35,634790,2,2010-12-28 01:32:48,False,False,4216.388650255097,0,100,0.597062579821,True,Armunho,7,7,0,6,83,337636,52,0,100,0,0.113154831199,11.8,1566,935,False
208913421,62.5,8.0,439307160,2,2010-10-28 05:07:29,False,False,4973624.432748045,0,1,0.655737704918,True,ArrahQ,6,6,0,24,65,1539,28,15,50,35,0.901734104046,7.3,1220,800,False
229875064,73.4,6.62,199606510,3,2010-12-23 15:34:31,False,False,5106546.050855446,0,0,0.643343051506,True,ArthurKassel,12,12,0,12,92,1134,18,0,95,5,3.34375,8.5,1029,662,False
341900539,74.3,8.09,31202320,1,2011-07-25 04:09:26,False,False,80587.2425316036,0,3,0.571327683616,True,alexandrialscot,15,15,0,1,70,11787,39,20,50,30,0.743295019157,9.3,1416,809,False
136245387,133.05,10.14,3644500,1,2010-04-23 11:51:49,False,False,9130.263202668366,0,41,0.49828009828,True,Aru_MUFC,8,3,0,40,100,85729,38,5,50,45,0.302295918367,10.2,2035,1014,False
745638440,62.85,5.01,87980440,2,2012-08-08 17:47:25,False,False,388424.1779027665,0,0,0.558528428094,True,_marclemore_,12,10,0,2,53,16863,34,25,40,35,0.735483870968,9.2,897,501,False
1544322560,49.85,5.85,37198040,1,2013-06-24 23:21:19,True,False,184002.04222059602,0,0,0.672413793103,True,AshGoesDeep,11,11,0,3,68,55601,29,10,60,30,0.889212827988,8.3,870,585,False
119112245,87.55,7.5,1439835260,2,2010-03-02 18:16:46,True,False,20235772.788561665,0,0,0.627615062762,True,Ashleystrasburg,15,15,0,67,13,357,71,10,30,60,1.82119205298,8.7,1195,750,False
368134512,69.95,6.75,37971140,2,2011-09-05 04:17:43,False,False,348933.4150608501,0,1,0.556930693069,True,Ashleywingender,15,15,0,8,55,9932,16,10,20,70,2.52403846154,6.9,1212,675,False
2152052819,74.5,5.51,8361650,1,2013-10-25 04:33:13,False,False,10190.7052056028,0,28,0.5751565762,True,MobBarlay,9,9,0,0,34,11038,25,35,40,25,0.954545454545,7.6,958,551,False
634704287,54.8,5.35,543830540,2,2012-07-13 16:49:05,False,False,15176448.938073136,0,0,0.583424209378,True,AsmaMMostafa,12,12,0,3,40,6509,38,5,55,40,0.453874538745,9.2,917,535,False
2557136665,84.05,8.55,15079190,2,2014-06-09 16:13:21,False,False,100861.37691717032,0,2,0.595403899721,True,AsumJessen,10,10,0,11,63,7183,44,30,35,35,0.908536585366,9.5,1436,855,False
92999280,103.7,8.51,12604880,1,2009-11-27 16:26:54,False,False,96293.66271062441,0,1,0.610035842294,True,Atherworld,10,10,0,14,82,43236,33,20,35,45,0.777777777778,10.2,1395,851,False
372835779,75.6,7.87,84527940,2,2011-09-13 14:17:41,False,False,586287.4549363989,0,0,0.621642969984,True,Auhbell,7,7,0,4,77,4924,41,5,65,30,0.778711484594,9.5,1266,787,False
1858934186,65.15,6.73,51111100,1,2013-09-13 00:06:40,False,False,368563.9137104276,0,1,0.59295154185,True,AustinAvent,11,11,0,6,84,29807,50,5,65,30,0.396248339973,9.0,1135,673,False
282427769,83.5,7.4,55340570,1,2011-04-15 05:48:11,True,False,415914.34931442316,0,0,0.590111642743,True,AustinC3,8,7,1,14,68,18554,46,15,50,35,0.827195467422,9.6,1254,740,False
40219052,78.85,9.22,15465580,1,2009-05-15 11:10:24,False,False,60089.79363752217,0,1,0.599090318389,True,Malookiyat,10,10,0,5,33,34465,31,10,40,50,0.860841423948,8.6,1539,922,False
1408912964,107.7,7.94,20009410,1,2013-05-06 22:58:56,True,False,152923.3009758405,0,1,0.530394121576,True,AveryThatsMe,12,12,0,1,87,5889,47,30,35,35,1.49714285714,8.9,1497,794,False
777083114,59.65,6.86,10433610,1,2012-08-24 00:48:17,False,False,33328.263946536434,0,16,0.69014084507,True,AwesomeRalphJay,15,15,0,2,53,28040,19,0,65,35,0.587234042553,8.9,994,686,False
24080811,89.25,7.28,2168460,3,2009-03-13 00:16:06,False,False,36492.40327533938,0,2,0.613310867734,True,Awesomenezz,11,11,0,6,74,235085,66,5,70,25,0.0720600053576,10.7,1187,728,False
990963038,76.65,6.54,148739930,2,2012-12-05 13:37:51,False,False,4182487.8583560754,0,0,0.612359550562,True,AyGretel,8,8,0,18,75,258,45,5,50,45,6.23529411765,9.5,1068,654,False
110928853,65.05,7.2,14625760,3,2010-02-03 07:01:41,False,False,146700.86949738915,0,2,0.648064806481,True,Ayu,3,3,0,5,66,53534,39,10,50,40,0.0159848564518,9.7,1111,720,False
2799099042,64.85,7.86,191990320,1,2014-09-09 03:43:19,True,False,1829516.2472367361,0,0,0.599542334096,True,BDubsJrII,9,9,0,12,54,5059,54,15,55,30,1.18545454545,8.8,1311,786,False
400983194,91.25,8.23,17177820,1,2011-10-29 21:36:39,False,False,102284.10800075444,0,0,0.60381511372,True,BKurtB,6,6,0,29,87,18663,62,10,55,35,0.585271317829,10.4,1363,823,False
