a_id,average_lenth_from_tweets,average_number_words_per_tweet,average_time_between_tweets,creation_content_sources,creation_date,default_profile,default_profile_image,desviacion_tipica_average_tweet_time,isabot,last_24_hours_tweet,lexical_diversity,location,name_length,name_letters_amount,name_numbers_amount,number_of_hashtags,number_of_mentions,number_of_tweets,number_of_urls,percent_negative_tweets,percent_neutral_tweets,percent_positive_tweets,ratio_friends_followers,smog_index,total_number_of_words,total_unique_words,verified
260649579,62.9,5.89,28512010,1,2011-03-04 09:03:56,True,False,172583.91239176234,1,0,0.485572959604,True,9,9,0,92,0,31246,0,0,100,0,0.0115894039735,11.7,1213,589,False
282659109,138.2,7.48,43241360,1,2011-04-15 16:57:53,False,False,227649.62001691878,1,0,0.3536643026,True,7,7,0,0,0,65932,99,15,80,5,0.27868852459,13.8,2115,748,False
299988118,65.26315789473684,5.62,351059440,1,2011-05-17 00:52:11,False,False,3518777.1355445576,1,0,0.536771728749,True,11,11,0,2,17,10897,17,0,94,5,4.88235294118,9.9,1047,562,False
327060670,118.55,8.6,606593270,1,2011-06-30 22:59:43,True,False,8630321.571026044,1,1,0.582261340555,True,6,6,0,3,1,27722,95,0,100,0,0.859543010753,11.6,1477,860,False
336996257,118.6,10.19,757950,1,2011-07-17 08:10:34,False,False,1843.0056558513327,1,100,0.69131614654,True,13,13,0,24,55,252246,84,0,95,5,0.164669002397,11.0,1474,1019,False
357536147,134.7,11.01,61074890,1,2011-08-18 14:33:51,False,False,278902.69640743884,1,2,0.611666666667,True,12,12,0,93,18,358,98,0,95,5,0.240269461078,13.4,1800,1101,False
393927847,107.0,15.0,0,1,2011-10-19 09:26:05,False,False,0.0,1,0,0.833333333333,True,13,11,2,1,1,41,0,0,0,100,0.688111888112,0,18,15,False
418501358,96.4,8.6,82874090,1,2011-11-22 07:44:43,False,False,2023294.519545872,1,0,0.595567867036,True,12,12,0,4,1,1273,0,0,100,0,0.85685483871,9.7,1444,860,False
421987528,78.6,6.99,432103470,2,2011-11-26 17:12:31,False,False,1899951.3920035814,1,0,0.64010989011,True,13,12,1,15,46,5417,61,5,95,0,1.86184210526,12.7,1092,699,False
430928749,122.6,10.27,5774590,1,2011-12-07 18:34:34,False,False,31014.493855292883,1,14,0.595362318841,True,15,15,0,0,0,53167,100,15,80,5,0.0274509803922,13.1,1725,1027,False
434722849,93.7,8.66,49361970,1,2011-12-12 07:02:50,False,False,186683.76111408297,1,0,0.598479612992,True,13,13,0,5,6,2655,3,5,90,5,1.15680559604,10.2,1447,866,False
434727810,90.05263157894737,8.57,923160590,2,2011-12-12 07:14:18,False,False,34644640.80250886,1,0,0.600981767181,True,15,15,0,11,8,2515,8,0,63,36,0.898014864992,9.8,1426,857,False
434728619,94.5,9.05,175693940,2,2011-12-12 07:16:17,False,False,5135790.640417061,1,0,0.602931379081,True,10,10,0,11,6,2635,9,5,80,15,0.851724458492,9.5,1501,905,False
434729769,87.05,8.71,37025970,1,2011-12-12 07:19:06,False,False,158917.21053020027,1,0,0.588116137745,True,11,11,0,6,4,2731,2,0,100,0,1.14707169745,9.8,1481,871,False
434742028,89.85714285714286,9.3,958646630,2,2011-12-12 07:48:38,False,False,24312912.309932593,1,0,0.593112244898,True,11,9,2,5,1,1127,0,0,92,7,0.788671623979,9.4,1568,930,False
434756188,93.71428571428571,8.71,8326670,1,2011-12-12 08:22:53,False,False,3523.8148861767436,1,0,0.596984235778,True,14,14,0,6,0,1372,1,7,78,14,0.654598053827,9.5,1459,871,False
434775697,94.5,9.09,447885350,2,2011-12-12 09:07:23,False,False,12001200.980043774,1,0,0.57495256167,True,13,13,0,3,1,1067,2,0,100,0,0.682089245322,9.2,1581,909,False
434790178,85.75,8.86,609019040,2,2011-12-12 09:39:24,False,False,24714555.85023992,1,0,0.595030221625,True,11,11,0,7,8,2515,8,0,90,10,0.884550921818,9.7,1489,886,False
434792369,86.75,8.96,949764360,2,2011-12-12 09:44:09,False,False,39449591.24361539,1,0,0.592200925314,True,10,10,0,2,23,2434,7,5,80,15,0.882745635056,11.0,1513,896,False
434795107,88.55,8.94,41796010,1,2011-12-12 09:50:03,False,False,258289.96651070286,1,0,0.586229508197,True,12,9,3,5,8,2670,5,5,90,5,0.917494199536,9.7,1525,894,False
458941316,51.22222222222222,6.28,54805610,1,2012-01-09 03:32:48,False,False,386239.5567671948,1,0,0.56678700361,True,15,12,3,0,19,1946,23,11,50,38,3.40875912409,6.7,1108,628,False
465306140,89.15,9.36,38322060,1,2012-01-16 06:13:22,False,False,183004.6405205275,1,0,0.598848368522,True,14,14,0,3,10,2252,1,0,90,10,1.1394299466,9.7,1563,936,False
465318952,122.3,10.49,11838350,2,2012-01-16 06:39:15,False,False,52881.665116820026,1,8,0.63003003003,True,12,12,0,37,93,188,71,5,95,0,0.794763513514,12.6,1665,1049,False
465320112,87.15,8.62,46674030,1,2012-01-16 06:41:32,False,False,303711.3212250903,1,0,0.604064470918,True,15,15,0,1,8,3593,2,0,85,15,1.1046720575,9.6,1427,862,False
465323815,53.0,6.7,334287580,1,2012-01-16 06:49:06,False,False,69452.56941928067,1,0,0.583115752829,True,14,12,2,2,8,3017,44,5,95,0,1.03799279356,11.3,1149,670,False
465325040,89.4375,9.09,10707680,1,2012-01-16 06:51:44,False,False,55288.25425271176,1,0,0.597240473062,True,13,13,0,6,0,801,2,12,87,0,1.05893234672,9.7,1522,909,False
465325633,82.75,8.74,36527980,1,2012-01-16 06:52:53,False,False,192502.86962855252,1,0,0.599451303155,True,9,9,0,2,5,3660,1,10,85,5,1.08098945254,9.7,1458,874,False
465328572,79.15,9.24,38015980,1,2012-01-16 06:58:59,False,False,163093.051239921,1,0,0.569667077682,True,9,9,0,4,12,3405,4,5,95,0,1.08343409915,9.6,1622,924,False
465343577,99.0,8.77,44464810,1,2012-01-16 07:30:23,False,False,508127.3616165439,1,0,0.591368846932,True,11,11,0,9,7,3679,3,15,80,5,1.10038507502,10.5,1483,877,False
465349136,94.35,9.91549295775,1661319338,1,2012-01-16 07:41:56,False,False,134037.80160723318,1,0,0.652455977757,True,14,14,0,55,71,75,32,0,95,5,0.789121847463,12.2,1079,704,False
465369276,116.1,9.46268656716,1760357089,1,2012-01-16 08:23:17,False,False,154032.53155294823,1,0,0.628968253968,True,11,11,0,54,67,73,58,15,85,0,0.820342583986,13.3,1008,634,False
465373317,97.8,9.29,48252700,1,2012-01-16 08:31:27,False,False,507760.09673245053,1,0,0.594369801663,True,15,15,0,7,6,3613,5,15,80,5,0.794106768586,10.1,1563,929,False
465373507,85.55,8.64,45246050,1,2012-01-16 08:31:52,False,False,335350.2122294841,1,0,0.626540971719,True,12,12,0,5,8,3573,6,10,85,5,1.11532097948,10.1,1379,864,False
465376231,126.05,10.1803278689,26828803,1,2012-01-16 08:36:58,False,False,173441.7913025217,1,0,0.644859813084,True,14,14,0,35,61,65,44,0,100,0,0.887652122291,12.7,963,621,False
465376509,78.45,8.29,41663960,1,2012-01-16 08:37:30,False,False,323985.32569875364,1,0,0.587943262411,True,12,12,0,4,2,3572,1,0,100,0,1.07187471712,10.0,1410,829,False
465378609,94.95,8.89,40896020,1,2012-01-16 08:41:48,False,False,263895.2910204349,1,0,0.555625,True,15,15,0,3,2,3727,0,10,85,5,1.12269756387,9.8,1600,889,False
465378983,98.84210526315789,10.935483871,1107052225,2,2012-01-16 08:42:34,False,False,8761445.585586574,1,0,0.733766233766,True,11,11,0,5,31,587,7,0,100,0,0.940698877657,10.6,462,339,False
465387088,84.6,9.29,49864380,1,2012-01-16 08:58:16,False,False,467082.1821618199,1,0,0.619746497665,True,12,12,0,7,8,3518,4,5,90,5,1.04098170873,10.3,1499,929,False
465387671,91.6,8.82,48330050,1,2012-01-16 08:59:29,False,False,223076.40609729997,1,0,0.593140551446,True,15,15,0,3,7,3743,2,10,85,5,1.09565475308,10.0,1487,882,False
465392383,91.5,8.26,51360020,1,2012-01-16 09:08:44,False,False,373453.1716512091,1,0,0.568479008947,True,14,14,0,7,4,3864,2,5,90,5,0.851209019433,8.7,1453,826,False
465393290,96.7,8.57,58034550,1,2012-01-16 09:10:26,False,False,511843.5593512338,1,0,0.579445571332,True,14,14,0,1,4,3610,2,0,100,0,1.08628414511,9.2,1479,857,False
465398499,123.65,9.74242424242,1787187030,1,2012-01-16 09:20:26,False,False,180678.2232278907,1,0,0.665631469979,True,10,10,0,39,66,69,53,0,100,0,0.870805369128,12.4,966,643,False
465399263,138.0,15.25,14571107750,2,2012-01-16 09:21:53,False,False,58276089.404737,1,0,0.818791946309,True,10,10,0,5,8,14,5,12,75,12,0.908287806579,13.0,149,122,False
465399558,108.52631578947368,10.08,823500010,1,2012-01-16 09:22:29,False,False,5170269.025401696,1,0,0.602510460251,True,13,13,0,18,100,1128,20,5,78,15,1.04819594417,10.5,1673,1008,False
465403330,89.33333333333333,9.43,12431440,1,2012-01-16 09:30:17,False,False,37698.81356128981,1,0,0.590852130326,True,14,14,0,5,0,786,1,0,100,0,1.03196903448,10.3,1596,943,False
465405613,91.65,9.04,55552410,1,2012-01-16 09:35:02,False,False,554812.3612734737,1,0,0.587394411956,True,13,13,0,10,9,3606,5,20,75,5,1.09322033898,10.4,1539,904,False
465418896,93.25,9.1,36834020,1,2012-01-16 10:01:55,False,False,232513.34057363248,1,0,0.587096774194,True,15,15,0,2,3,3678,3,0,95,5,1.08812441093,9.5,1550,910,False
465421036,104.35,9.18,40701970,1,2012-01-16 10:06:06,False,False,495856.12537609134,1,0,0.585459183673,True,11,11,0,12,10,4136,6,20,65,15,0.964415862808,10.7,1568,918,False
465429916,86.7,9.18,38130000,1,2012-01-16 10:23:49,False,False,280400.83077302034,1,0,0.578449905482,True,12,12,0,4,2,3556,2,0,95,5,1.03394722375,8.7,1587,918,False
465431259,85.36842105263158,8.97,15681460,1,2012-01-16 10:26:34,False,False,156290.46161994006,1,0,0.584745762712,True,14,14,0,2,1,935,1,0,94,5,1.04892194323,9.6,1534,897,False
465434130,92.2,8.92,38160030,1,2012-01-16 10:32:16,False,False,240173.9062682289,1,0,0.586456278764,True,14,14,0,1,4,3697,1,0,85,15,1.03957650618,9.4,1521,892,False
465435993,96.35,10.0606060606,36935712,1,2012-01-16 10:35:47,False,False,126146.16872591691,1,0,0.660696517413,True,9,9,0,48,66,67,26,15,80,5,0.770824699544,12.1,1005,664,False
465437206,89.8,9.44,12809950,1,2012-01-16 10:38:00,False,False,65340.0817109988,1,0,0.600127145582,True,14,14,0,7,0,762,0,13,86,0,1.04301878123,9.9,1573,944,False
466109264,88.15,8.54,47597540,1,2012-01-17 02:24:52,False,False,429310.83133388334,1,0,0.614830813535,True,14,14,0,13,9,3562,8,20,70,10,1.0489835905,11.0,1389,854,False
466116893,92.3,8.46,48785860,1,2012-01-17 02:36:26,False,False,255704.1393187838,1,0,0.561752988048,True,13,13,0,3,4,3503,1,5,85,10,1.10056004978,9.6,1506,846,False
466121357,134.4,10.92,16334710,1,2012-01-17 02:43:33,False,False,132377.64025403798,1,3,0.600660066007,True,12,12,0,65,100,139,45,10,80,10,0.974477042494,11.9,1818,1092,False
466124519,84.4,9.39,40326010,1,2012-01-17 02:48:47,False,False,253228.15070937513,1,0,0.610533159948,True,11,11,0,4,3,2404,1,0,100,0,1.03120772075,9.5,1538,939,False
466126074,50.0,9.0,0,1,2012-01-17 02:51:22,False,False,0.0,1,0,1.0,True,11,11,0,0,0,5,0,0,100,0,0.959095022624,8.8,9,9,False
466139143,98.0,9.35,926289780,2,2012-01-17 03:11:42,False,False,21528656.23787821,1,0,0.601286173633,True,11,11,0,7,1,922,3,0,100,0,1.07352541451,10.3,1555,935,False
466146699,122.05,11.2037037037,2206368962,1,2012-01-17 03:23:36,False,False,359430.3606977157,1,0,0.657608695652,True,15,15,0,35,54,55,31,5,85,10,0.990347163421,13.1,920,605,False
466152441,21.0,1.5,1716852500,1,2012-01-17 03:33:03,False,False,1716852.5,1,0,0.5,True,14,14,0,0,2,7,0,0,100,0,1.09094325442,8.8,6,3,False
466153262,95.25,9.60784313725,30234882,1,2012-01-17 03:34:24,False,False,98165.65734805829,1,0,0.671232876712,True,14,11,3,2,0,59,2,8,91,0,1.08740629685,9.7,730,490,False
466156124,84.45,8.27,38135390,1,2012-01-17 03:38:42,False,False,278358.19770609867,1,0,0.597543352601,True,12,12,0,4,8,2439,1,0,100,0,1.1427442848,9.7,1384,827,False
466159914,80.65,8.27,44910020,1,2012-01-17 03:44:20,False,False,237977.86826564354,1,0,0.59368269921,True,14,14,0,7,5,2651,2,5,85,10,1.15870075337,8.8,1393,827,False
466161043,86.75,9.12,12135270,1,2012-01-17 03:45:58,False,False,55787.36159485268,1,0,0.597640891219,True,11,10,1,12,0,819,2,6,93,0,1.00497895798,10.5,1526,912,False
466163583,97.35,9.09,50988910,1,2012-01-17 03:49:50,False,False,574293.5250193842,1,0,0.585695876289,True,11,11,0,7,8,3495,5,15,80,5,1.03612099644,10.6,1552,909,False
466176895,82.25,9.08,47860180,1,2012-01-17 04:11:24,False,False,295119.61117653636,1,0,0.607357859532,True,12,12,0,6,10,4023,6,0,100,0,1.05384383024,10.4,1495,908,False
466178381,67.125,8.76,766640,1,2012-01-17 04:13:52,False,False,17893.917662395615,1,0,0.575180564675,True,11,9,2,4,0,1176,2,0,100,0,0.871413667188,9.0,1523,876,False
466181545,90.0,8.74,49378590,1,2012-01-17 04:19:24,False,False,489060.2456864874,1,0,0.607366226546,True,14,14,0,7,9,3675,3,15,80,5,1.11593881623,10.0,1439,874,False
466182757,139.875,15.75,14571141875,2,2012-01-17 04:21:37,False,False,58276352.37719602,1,0,0.807692307692,True,14,14,0,7,8,13,4,12,75,12,1.0754181601,12.3,156,126,False
466183322,81.05,9.21,41543960,1,2012-01-17 04:22:34,False,False,192944.7552406906,1,0,0.601174934726,True,12,12,0,7,5,3557,1,5,85,10,0.998024366151,10.3,1532,921,False
466189857,116.0,20.0,0,1,2012-01-17 04:33:47,False,False,0.0,1,0,0.952380952381,True,12,12,0,0,1,8,0,0,100,0,1.07340201358,3.1,21,20,False
466203702,62.27272727272727,8.71,14799610,1,2012-01-17 04:58:28,False,False,37077.787262024336,1,0,0.579122340426,True,11,9,2,8,1,1180,1,0,90,9,1.00902397165,8.5,1504,871,False
466204969,83.65,9.28,46014020,1,2012-01-17 05:00:42,False,False,201697.61064660014,1,0,0.597168597169,True,14,14,0,4,4,3516,4,0,95,5,1.10701005371,9.6,1554,928,False
466207205,104.0,9.48,42186000,1,2012-01-17 05:04:47,False,False,163709.98180632573,1,0,0.588819875776,True,12,11,0,2,6,3682,2,10,85,5,1.05476923077,9.3,1610,948,False
466209990,64.4,8.31,38717950,1,2012-01-17 05:09:32,False,False,243825.3908526499,1,0,0.582748948107,True,13,11,2,3,7,3597,5,0,100,0,1.10952244781,9.9,1426,831,False
466212113,104.4,9.14,51750640,1,2012-01-17 05:13:24,False,False,525780.8830575338,1,0,0.590820943762,True,13,13,0,5,8,3418,7,15,85,0,1.03570767808,10.2,1547,914,False
7248952,133.1,12.14,1089595330,1,2007-07-04 12:30:03,False,False,40140041.23545932,1,0,0.643349231585,True,11,11,0,0,0,1564,100,10,50,40,2.5820256776,13.7,1887,1214,False
7732472,85.05,6.88,816205700,4,2007-07-26 09:07:31,False,False,8009895.8996777395,1,0,0.664734299517,True,12,12,0,17,14,1246,71,5,40,55,0.0130699088146,9.5,1035,688,False
9524952,86.0,6.62,627818960,4,2007-10-18 16:36:00,False,False,6183157.779526763,1,0,0.541291905151,True,10,10,0,25,52,5277,86,5,20,75,0.140551787411,10.2,1223,662,False
14596967,92.26315789473684,4.61,242360180,1,2008-04-30 06:22:14,False,False,38102.54131192029,1,0,0.274078478002,True,7,7,0,0,0,3788,100,0,0,100,1.15650901999,8.7,1682,461,False
14826060,81.6,6.8,760175360,2,2008-05-18 23:56:58,False,False,17531210.76288145,1,0,0.599647266314,True,10,10,0,0,13,2597,78,5,50,45,1.23303947873,8.8,1134,680,False
14938781,92.05,4.89,1734870490,5,2008-05-28 23:26:43,False,False,46229806.21158357,1,0,0.552542372881,True,15,15,0,20,18,368,100,0,55,45,1.51177536232,10.2,885,489,False
15528595,71.75,6.65,1691727870,3,2008-07-22 09:29:03,True,False,16761273.784907179,1,0,0.698529411765,True,12,12,0,3,4,869,97,15,55,30,0.46019711903,10.3,952,665,False
16671189,52.4,5.0,3062163240,3,2008-10-09 19:00:31,False,False,12767722.791144487,1,0,0.786163522013,True,11,11,0,4,2,25,23,0,70,30,2.13483146067,9.5,159,125,False
17976561,93.88888888888889,13.1111111111,2302385000,1,2008-12-08 23:03:21,False,False,6609407.827912481,1,0,0.723926380368,True,10,10,0,0,0,9,2,0,22,77,1.49005424955,6.2,163,118,False
19121759,80.6,5.95454545455,354517606,2,2009-01-17 20:03:29,False,False,7768299.318757019,1,0,0.64744645799,True,6,6,0,1,3,66,52,35,35,30,1.4122236671,9.5,607,393,False
19581787,119.15,3.18,1854311400,2,2009-01-27 07:41:15,False,False,68719072.66053805,1,0,0.228941684665,True,11,11,0,89,0,1816,95,5,45,50,1.39084402028,12.5,1389,318,False
20338242,110.15,8.62,30172050,2,2009-02-07 22:36:45,False,False,63867.81438633626,1,1,0.661042944785,True,8,2,0,26,86,9379,59,15,40,45,0.844936633333,10.8,1304,862,False
20531552,97.75,6.07,761270300,1,2009-02-10 18:15:03,False,False,15717123.720848396,1,0,0.3928802589,True,13,13,0,0,33,466,48,10,40,50,1.30937009248,9.8,1545,607,False
21577213,93.9,8.03333333333,984700400,1,2009-02-22 16:46:52,False,False,2405298.414094527,1,0,0.688571428571,True,15,15,0,9,3,31,19,0,90,10,3.11578947368,11.0,350,241,False
22597402,53.3,5.0,883102200,1,2009-03-03 07:12:10,True,None,2587755.0977337016,1,0,0.862068965517,True,15,8,0,1,0,10,10,0,70,30,1.37159372419,10.6,58,50,False
22979959,57.75,4.13,312628170,2,2009-03-05 21:13:24,False,False,5604711.615700626,1,0,0.77052238806,True,11,6,0,0,0,435,100,0,100,0,2.181272509,8.6,536,413,False
23832142,98.4,8.78,2545982050,1,2009-03-11 21:18:57,True,False,10823587.78130109,1,0,0.525748502994,True,14,14,0,2,61,215,27,25,45,30,1.75427872861,10.2,1670,878,False
24320335,71.35,2.11,1981370020,2,2009-03-14 03:28:40,False,False,37082400.397466354,1,0,0.241142857143,True,8,8,0,0,0,4485,100,0,85,15,1.72027972028,8.9,875,211,False
27159435,97.35,7.78260869565,1214907608,1,2009-03-28 02:30:15,True,False,8092008.039637434,1,0,0.61301369863,True,8,7,0,12,2,23,21,0,95,5,3.80742459397,11.3,292,179,False
28219482,97.89473684210526,8.32,1788759810,3,2009-04-01 22:57:20,False,False,13182973.467248037,1,0,0.729824561404,True,11,11,0,16,32,789,86,5,84,10,1.45476190476,11.1,1140,832,False
28587018,124.83333333333333,11.5,2348669166,1,2009-04-03 15:38:10,False,False,6781535.009453764,1,0,0.633027522936,True,9,6,3,0,2,12,11,8,16,75,0.8375,9.9,218,138,False
29370531,79.7,5.14,876470810,7,2009-04-07 03:33:01,True,False,24863845.461833507,1,0,0.581447963801,True,7,5,2,3,6,999,96,0,65,35,1.96464646465,10.2,884,514,False
29444347,80.85,5.97,62261810,1,2009-04-07 13:14:24,True,None,795246.8202407273,1,0,0.512006861063,True,13,11,2,34,10,152,90,20,45,35,3.76576576577,9.9,1166,597,False
29822733,83.11764705882354,8.05882352941,2345708705,1,2009-04-08 21:14:51,False,None,9815876.155110888,1,0,0.717277486911,True,11,11,0,4,0,17,14,0,94,5,5.4609375,9.9,191,137,False
30998590,99.55,2.03,275013390,4,2009-04-13 23:59:21,False,False,8577829.890230762,1,0,0.172913117547,True,12,6,0,1,95,679,99,10,20,70,1.27887600065,9.6,1174,203,False
31228692,127.6,8.13541666667,2981570645,1,2009-04-14 21:16:40,True,False,1207553.686048579,1,0,0.611589663273,True,14,8,0,16,47,96,53,15,30,55,1.01067943289,8.8,1277,781,False
31708548,84.05,7.97,1371956650,3,2009-04-16 09:53:03,False,False,35730790.404225275,1,0,0.59037037037,True,10,10,0,33,32,151,32,0,95,5,0.416822429907,9.8,1350,797,False
33608758,85.85,7.45,807471210,4,2009-04-20 18:23:19,False,False,14530813.870504469,1,0,0.563114134543,True,12,12,0,58,14,836,44,0,95,5,0.78488372093,9.9,1323,745,False
92633114,51.0,7.0,0,1,2009-11-25 23:00:00,True,None,0.0,1,0,1.0,True,8,0,8,0,0,1,1,0,0,100,0,11.2,7,7,False
35401956,80.4,4.26,145028620,1,2009-04-26 04:25:55,False,False,3082217.7235607556,1,0,0.390825688073,True,15,15,0,4,3,448,81,0,45,55,1.69764957265,9.2,1090,426,False
35531101,37.0,4.0,0,1,2009-04-26 18:44:22,True,False,0.0,1,0,1.0,True,9,5,1,0,0,1,1,0,100,0,3.86234817814,3.1,4,4,False
36477176,57.95,6.3,451618500,2,2009-04-29 20:51:49,False,False,6401162.810779041,1,0,0.616136919315,True,12,9,3,6,44,80,14,0,80,20,5.17796610169,9.5,818,504,False
36878978,73.55,6.15,1237740280,2,2009-05-01 04:08:51,False,False,57482652.22443622,1,0,0.696489241223,True,15,7,0,0,0,814,99,10,35,55,0.46893638171,10.1,883,615,False
37192548,104.0,10.42,72598980,2,2009-05-02 13:06:48,False,False,1919372.382165923,1,0,0.64241676942,True,7,5,2,3,96,199,68,0,60,40,1.50769230769,10.1,1622,1042,False
38195080,126.7,10.24,412887580,2,2009-05-06 15:02:31,False,False,2828540.4533393416,1,0,0.61061419201,True,12,12,0,16,57,56201,64,0,100,0,0.882031905961,14.2,1677,1024,False
38344324,76.3,8.05,508882470,2,2009-05-07 02:22:58,False,False,1966879.1264722515,1,0,0.627925117005,True,9,9,0,7,2,479,79,5,60,35,2.98322147651,8.4,1282,805,False
38920016,82.55,4.11,52027210,1,2009-05-09 20:19:26,False,False,325288.5325553146,1,0,0.33225545675,True,15,15,0,8,8,125,45,20,20,60,1.27475498479,10.5,1237,411,False
38962259,70.6,3.67,60060400,1,2009-05-10 00:44:06,False,False,801840.7358743444,1,0,0.317474048443,True,8,6,0,4,7,452,84,0,70,30,2.17429837518,9.0,1156,367,False
39527698,50.3,3.32,36324810,3,2009-05-12 15:54:13,False,False,583542.9503002221,1,0,0.737777777778,True,12,12,0,5,1,3834,86,0,100,0,0.158823529412,14.0,450,332,False
39674011,84.55,6.69047619048,520230238,1,2009-05-13 03:08:41,True,False,3721416.0591816995,1,0,0.505395683453,True,10,10,0,1,1,42,7,10,45,45,2.48453608247,9.3,556,281,False
39688267,99.3,9.02,78898840,1,2009-05-13 04:33:11,False,False,385988.27952206007,1,0,0.615279672578,True,9,9,0,0,0,2647,59,0,100,0,3.21176470588,10.1,1466,902,False
41177563,87.70588235294117,7.82352941176,15458801411,1,2009-05-19 18:39:02,False,False,60770881.06677316,1,0,0.715053763441,True,14,12,2,5,1,17,16,5,88,5,6.72222222222,11.1,186,133,False
41179792,76.0,5.88,724281760,4,2009-05-19 18:49:23,False,False,19626232.23779595,1,0,0.563758389262,True,11,7,0,31,81,325,8,5,95,0,1.20868347339,8.2,1043,588,False
41678763,68.66666666666667,2.16666666667,9577333,1,2009-05-21 21:10:30,True,False,20369.766834426187,1,0,0.541666666667,True,14,12,0,0,0,6,6,0,66,33,0.796074154853,11.7,24,13,False
41684107,84.6,4.16,205725060,2,2009-05-21 21:37:19,False,False,687032.575828803,1,0,0.366197183099,True,10,10,0,4,79,186,33,0,100,0,2.69141914191,8.5,1136,416,False
41877218,68.05263157894737,5.67,1192260290,4,2009-05-22 19:01:47,False,False,19034781.209224198,1,0,0.535410764873,True,11,10,1,28,24,286,18,0,63,36,0.628630705394,10.0,1059,567,False
43066058,36.0,5.0,0,1,2009-05-28 07:14:38,True,False,0.0,1,0,1.0,True,11,7,2,0,0,1,1,0,0,100,4.99270072993,3.1,5,5,False
43201046,93.3,10.0,206568230,2,2009-05-28 21:29:50,False,False,1245518.8817769194,1,1,0.688231245699,True,12,12,0,26,82,1086,44,0,90,10,3.12824427481,11.4,1453,1000,False
43510557,39.0,6.0,0,1,2009-05-30 10:21:11,True,None,0.0,1,0,1.0,True,10,6,2,0,0,1,1,0,0,100,5.56730769231,3.1,6,6,False
43747581,89.95,7.2,315717120,2,2009-05-31 20:17:17,False,None,2560618.768364688,1,0,0.589680589681,True,6,3,3,47,59,146,93,5,75,20,2.25050916497,10.3,1221,720,False
44081953,37.0,4.0,0,1,2009-06-02 07:53:30,True,False,0.0,1,0,1.0,True,11,7,2,0,0,1,1,0,0,100,4.7265625,8.8,4,4,False
44084192,39.0,6.0,0,1,2009-06-02 08:18:02,True,False,0.0,1,0,1.0,True,11,7,2,0,0,1,1,0,0,100,4.53409090909,8.8,6,6,False
44084811,46.0,7.0,0,1,2009-06-02 08:24:48,True,False,0.0,1,0,1.0,True,11,7,2,0,0,1,1,0,0,100,4.88421052632,8.8,7,7,False
44191269,68.5,8.4375,48452000,1,2009-06-02 19:48:36,True,False,197561.2280772782,1,0,0.833333333333,True,10,10,0,0,0,16,9,6,37,56,2.32203389831,10.2,162,135,False
